,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
38,sudoku,0.3307145848210917,0.5248578955113049,0.2334785560731292,0.1510651128511439,449.1313131313131,0.5,arcene,mcar
39,mice,0.3848651975948919,0.5478229266890207,0.2284395079703056,0.1576141236818541,449.1313131313131,0.5,arcene,mcar
0,missforest,-13.924590118215258,0.502474820951838,0.6866779841834068,0.6818612846210547,250.83333333333337,0.1,eeg,mnar
1,knn,-13.804668328948956,0.3150756521220315,0.6946836540862451,0.6898993606985693,250.83333333333337,0.1,eeg,mnar
2,mice,-25.91936806562832,0.1825001481934792,0.8046944960250175,0.7721978921240705,250.83333333333337,0.1,eeg,mnar
3,factorization,-31.132726037069418,0.5831701187263836,0.7495880286398311,0.7475558551868081,250.83333333333337,0.1,eeg,mnar
4,sudoku,-9.336087823623735,0.4603814142097541,0.673219170819265,0.6683257191766981,250.83333333333337,0.1,eeg,mnar
5,mean,-9.499863896051195,,0.6750461036262266,0.6704130548168594,250.83333333333337,0.1,eeg,mnar
6,softimpute,-32.51078996391645,0.7934855182647469,0.7495344561566588,0.7465765390172473,250.83333333333337,0.1,eeg,mnar
7,median,-9.517581675802072,,0.6752826376149613,0.670638847938276,250.83333333333337,0.1,eeg,mnar
8,mice,-25.86473250033512,0.1894413754112544,0.8048650982476998,0.7717071646090123,500.5,0.2,eeg,mnar
9,factorization,-53.22797997497174,0.7090222646007444,0.7519659002831051,0.750531299093975,500.5,0.2,eeg,mnar
10,missforest,-13.903748046618436,0.5444597220937372,0.6874522588575934,0.682859832427341,500.5,0.2,eeg,mnar
11,median,-9.517357060472737,,0.675144359730221,0.6706276008162111,500.5,0.2,eeg,mnar
12,mean,-9.499802683143958,,0.67490862900044,0.6704026516424056,500.5,0.2,eeg,mnar
13,sudoku,-9.328436371675547,0.4843643750402696,0.6731383343170676,0.6683995636435546,500.5,0.2,eeg,mnar
14,knn,-14.214738869066364,0.2802784549604873,0.6949902996640022,0.6900100588268855,500.5,0.2,eeg,mnar
15,softimpute,-32.82553945347798,0.780503236920925,0.7496888117348791,0.7467719399534065,500.5,0.2,eeg,mnar
16,sudoku,-9.329751189700136,0.4571802632724226,0.6731550609440365,0.6682534974589784,750.1666666666666,0.3,eeg,mnar
17,missforest,-13.370709309351964,0.5660626107282691,0.6863147274412191,0.6819005775945802,750.1666666666666,0.3,eeg,mnar
18,softimpute,-33.09140778369933,0.5988768220059353,0.7503584751935093,0.7470638625031936,750.1666666666666,0.3,eeg,mnar
19,mean,-9.499810331572052,,0.6750647460953001,0.6704094067145151,750.1666666666666,0.3,eeg,mnar
20,median,-9.517125568540925,,0.675300183492134,0.670634305207591,750.1666666666666,0.3,eeg,mnar
21,knn,-13.716616271898738,0.2675033563816998,0.6945736447913436,0.6899393580899682,750.1666666666666,0.3,eeg,mnar
22,mice,-25.80222693321599,0.2255602573055593,0.8076090620313908,0.7757993935530729,750.1666666666666,0.3,eeg,mnar
23,factorization,-67.24556803486136,0.6385826459318007,0.7566765544719621,0.7546849191017001,750.1666666666666,0.3,eeg,mnar
24,factorization,-119.65313633074418,0.6227942532037914,0.7630500093885231,0.7607370658340491,999.8333333333334,0.4,eeg,mnar
25,median,-9.516543534526804,,0.6752270373870658,0.6706297409123089,999.8333333333334,0.4,eeg,mnar
26,missforest,-13.356855257300603,0.5885186690130475,0.686705460111919,0.6822106497774177,999.8333333333334,0.4,eeg,mnar
27,softimpute,-33.534158010076254,0.6087131514865426,0.7505907538504957,0.7474333128434935,999.8333333333334,0.4,eeg,mnar
28,mice,-25.953328520556457,0.2188958247210023,0.8071398316374796,0.7733921323317939,999.8333333333334,0.4,eeg,mnar
29,knn,-13.825966136702954,0.2580080943701895,0.6946629292898612,0.6899714354823304,999.8333333333334,0.4,eeg,mnar
30,mean,-9.49978574904823,,0.6749930221878703,0.6704054155499954,999.8333333333334,0.4,eeg,mnar
31,sudoku,-9.36899932425919,0.4630133631150864,0.673526593592599,0.6687389862284342,999.8333333333334,0.4,eeg,mnar
32,factorization,-206.61572580614975,0.6493973192453341,0.7703697346479386,0.7679595874159816,1249.5,0.5,eeg,mnar
33,missforest,-13.05877540495497,0.5892938247953122,0.6858767336886521,0.6815252035666596,1249.5,0.5,eeg,mnar
34,softimpute,-34.24737034333335,0.6184030906288648,0.7510002475978831,0.7479369401967926,1249.5,0.5,eeg,mnar
35,mice,-26.459947599283737,0.2147657773409128,0.806361880532215,0.7708149622602173,1249.5,0.5,eeg,mnar
36,median,-9.517188013935348,,0.6751830073860084,0.6706281372439683,1249.5,0.5,eeg,mnar
37,mean,-9.499787098586912,,0.6749476828171814,0.6704031293307063,1249.5,0.5,eeg,mnar
38,sudoku,-9.335819992240442,0.462097748217204,0.6733669234598696,0.6685452000780554,1249.5,0.5,eeg,mnar
39,knn,-13.977168527581105,0.2529268142769932,0.6950234103529193,0.6902263626194446,1249.5,0.5,eeg,mnar
