,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0051,0.7207506350858766,0.7022745839970709,-9.977643927663681,-0.4168657384700583,1.3211,betweenness,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0013,0.7249828944441674,0.7197292823623851,-9.385201354397063,0.02920373323675296,1.3121,degree,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0031,0.725073020950208,0.7198183299263841,-9.404326852129898,0.02828103743753707,11.7087,degree,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0106,0.725073020950208,0.7198183299263841,-9.404326852129898,0.02828103743753707,11.7422,eigenvector,utility,0.25,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0103,0.725073020950208,0.7198183299263841,-9.404326852129898,0.02828103743753707,11.9183,eigenvector,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0067,0.725073020950208,0.7198183299263841,-9.404326852129898,0.02828103743753707,13.8741,betweenness,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0070,0.725073020950208,0.7198183299263841,-9.404326852129898,0.02828103743753707,15.2293,betweenness,utility,0.25,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0034,0.725073020950208,0.7198183299263841,-9.404326852129898,0.02828103743753707,11.9587,degree,utility,0.25,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0050,0.7260795166091828,0.7209206683554763,-9.363217099482684,0.0868923494538345,1.295,betweenness,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0014,0.7262740208961743,0.721020408814392,-9.385201354397063,0.02920373323675296,1.4074,degree,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0104,0.726364147402215,0.721109456378391,-9.404326852129898,0.02828103743753707,11.7051,eigenvector,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0071,0.726364147402215,0.721109456378391,-9.404326852129898,0.02828103743753707,16.2075,betweenness,utility,0.25,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0035,0.726364147402215,0.721109456378391,-9.404326852129898,0.02828103743753707,11.6802,degree,utility,0.25,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0032,0.726364147402215,0.721109456378391,-9.404326852129898,0.02828103743753707,11.8278,degree,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0107,0.726364147402215,0.721109456378391,-9.404326852129898,0.02828103743753707,12.3497,eigenvector,utility,0.25,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0068,0.726364147402215,0.721109456378391,-9.404326852129898,0.02828103743753707,11.8726,betweenness,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0088,0.7286532198918293,0.7192964033625596,-12.387072363524027,0.17391028375424206,1.2398,eigenvector,centrality,0.25,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0016,0.7286966568064582,0.7193200817792712,-12.400863220509997,-0.04143101390650596,1.2816,degree,centrality,0.25,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0017,0.7333388343494905,0.7241271586101187,-12.404791701953323,0.1339913758300168,1.2904,degree,centrality,0.25,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0089,0.7333388343494905,0.7241271586101187,-12.404791701953323,0.1339913758300168,1.4105,eigenvector,centrality,0.25,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0085,0.7561791243475816,0.7496037229815257,-17.882125212456334,-0.2837265676711295,1.292,eigenvector,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0052,0.757069295667134,0.7531017734829595,-18.26264494327361,0.08126599267426463,1.2956,betweenness,centrality,0.25,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0086,0.7614054746456896,0.7574908402864685,-18.192139626391246,0.270349407546219,1.3708,eigenvector,centrality,0.25,,,0.5,1.5,LinearRegression,1
