,dataset,missingness_type,missing_rate,method,rmse_mean,rank
208,eeg,mnar,0.5,softimpute,0.7510002475978831,5.0
209,eeg,mnar,0.5,sudoku,0.6733669234598696,1.0
210,qsar,mar,0.1,factorization,0.116955456646186,4.0
211,qsar,mar,0.1,knn,0.0996579516703323,2.0
212,qsar,mar,0.1,mean,0.1592046629018023,6.0
213,qsar,mar,0.1,median,0.1688287039912061,7.0
214,qsar,mar,0.1,mice,0.1563313666071334,5.0
215,qsar,mar,0.1,softimpute,0.1129971299657242,3.0
216,qsar,mar,0.1,sudoku,0.076931502247087,1.0
217,qsar,mar,0.2,factorization,0.1363648552231393,4.0
218,qsar,mar,0.2,knn,0.1121274930443266,2.0
219,qsar,mar,0.2,mean,0.1634929831013139,6.0
220,qsar,mar,0.2,median,0.1728942064361989,7.0
221,qsar,mar,0.2,mice,0.1558021084533098,5.0
222,qsar,mar,0.2,softimpute,0.126720200469417,3.0
223,qsar,mar,0.2,sudoku,0.0934461901770893,1.0
224,qsar,mar,0.3,factorization,0.1540964415447559,4.0
225,qsar,mar,0.3,knn,0.1296226585568048,2.0
226,qsar,mar,0.3,mean,0.1687722752883435,6.0
227,qsar,mar,0.3,median,0.178306255282099,7.0
228,qsar,mar,0.3,mice,0.159881142986363,5.0
229,qsar,mar,0.3,softimpute,0.1438801614957696,3.0
230,qsar,mar,0.3,sudoku,0.1066237074912203,1.0
231,qsar,mar,0.4,factorization,0.1669594546432235,5.0
232,qsar,mar,0.4,knn,0.135271717909422,2.0
233,qsar,mar,0.4,mean,0.1690847802720356,6.0
234,qsar,mar,0.4,median,0.1783123851650738,7.0
235,qsar,mar,0.4,mice,0.1548393883933099,4.0
236,qsar,mar,0.4,softimpute,0.151684042478393,3.0
237,qsar,mar,0.4,sudoku,0.1111596721822829,1.0
238,qsar,mar,0.5,factorization,0.1895598849114942,7.0
239,qsar,mar,0.5,knn,0.1449096824275009,2.0
240,qsar,mar,0.5,mean,0.1709090726187695,4.0
241,qsar,mar,0.5,median,0.1794169348139286,6.0
242,qsar,mar,0.5,mice,0.1781284018112551,5.0
243,qsar,mar,0.5,softimpute,0.1670034320670153,3.0
244,qsar,mar,0.5,sudoku,0.1307326109908423,1.0
245,qsar,mcar,0.1,factorization,0.1404679768792388,4.0
246,qsar,mcar,0.1,knn,0.0946911871849686,2.0
247,qsar,mcar,0.1,mean,0.1941438185170275,6.0
248,qsar,mcar,0.1,median,0.2018692059962073,7.0
